# x  log10(x)  computed  exact  rel_error  log10(rel_error)
1.000000000000000e-10 -1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794166e-10 -9.900000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461111e-10 -9.800000000000001e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968875e-10 -9.700000000000001e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509572e-10 -9.600000000000001e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168367e-10 -9.500000000000002e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534953e-10 -9.400000000000002e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272695e-10 -9.300000000000002e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801891e-10 -9.200000000000003e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242757e-10 -9.100000000000003e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999918e-10 -9.000000000000004e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794156e-09 -8.900000000000004e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461098e-09 -8.800000000000004e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968858e-09 -8.700000000000005e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509551e-09 -8.600000000000005e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168341e-09 -8.500000000000005e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534920e-09 -8.400000000000006e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
5.011872336272654e-09 -8.300000000000006e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
6.309573444801839e-09 -8.200000000000006e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
7.943282347242691e-09 -8.100000000000007e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
9.999999999999836e-09 -8.000000000000007e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.258925411794146e-08 -7.900000000000007e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.584893192461085e-08 -7.800000000000008e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
1.995262314968842e-08 -7.700000000000008e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
2.511886431509531e-08 -7.600000000000009e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.162277660168314e-08 -7.500000000000009e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
3.981071705534888e-08 -7.400000000000009e+00 1.000000000000000e+00 1.000000000000000e+00 0.000000000000000e+00 -2.000000000000000e+01
